title,date_posted,price,location,link
3 Alan U 6’1 used surfboards,8/14/2020 4:16,$200 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-3-alan-61-used-surfboards/7177203604.html
,,,,
Used Surfboards- Step Ups and Shortboard,8/13/2020 14:37,$100 , (Ewa Beach),https://honolulu.craigslist.org/oah/spo/d/kapolei-used-surfboards-step-ups-and/7177005386.html
,,,,
"2 6'4"" surfboards",8/12/2020 19:00,$100 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-2-64-surfboards/7164944390.html
,,,,
Surfboards wavestorm midlength shortboard groveler,8/9/2020 19:48,$130 , (Nuuanu ave),https://honolulu.craigslist.org/oah/spo/d/honolulu-surfboards-wavestorm-midlength/7174615838.html
,,,,
2 Used Surfboards,8/8/2020 11:03,$175 , (Manoa),https://honolulu.craigslist.org/oah/spo/d/honolulu-2-used-surfboards/7173906469.html
,,,,
BARELY USED MITSU SURFBOARD,8/6/2020 9:34,$430 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-barely-used-mitsu-surfboard/7172651856.html
,,,,
Cheap Surfboards for Sale,8/6/2020 4:59,$60 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-cheap-surfboards-for-sale/7156066721.html
,,,,
2 older surfboards (watertight),8/4/2020 21:54,$100 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-2-older-surfboards-watertight/7156540843.html
,,,,
Surfboards,8/4/2020 10:27,$20 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-surfboards/7171512612.html
,,,,
Used surfboards,8/4/2020 10:20,$25 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-used-surfboards/7171504165.html
,,,,
Luke Studer Surfboards,7/28/2020 19:33,$350 , (Waialua),https://honolulu.craigslist.org/oah/spo/d/waialua-luke-studer-surfboards/7167838328.html
,,,,
shortboard shortboards surfboard surfboards surf short board boards,7/28/2020 15:34,$250 , (aiea),https://honolulu.craigslist.org/oah/spo/d/pearl-city-shortboard-shortboards/7151310198.html
,,,,
6'2 NSP Surfboard,8/25/2020 15:20,$217 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-62-nsp-surfboard/7170360830.html
,,,,
"6'0"" Surf Board",8/25/2020 15:18,$153 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-60-surf-board/7170362427.html
,,,,
Surfboard longboard 8'0 brand new delivered all Oahu,8/25/2020 15:11,$145 , (Laie),https://honolulu.craigslist.org/oah/spo/d/kahului-surfboard-longboard-80-brand/7168980410.html
,,,,
5’8” Meeks Shortboard (Needs Fix),8/25/2020 14:01,$100 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-58-meeks-shortboard-needs-fix/7184350533.html
,,,,
"Paddles, Boardbags, Roofrack Straps, Fins, Leashes",8/25/2020 13:25,$20 , (Waialua),https://honolulu.craigslist.org/oah/spo/d/waialua-paddles-boardbags-roofrack/7168344481.html
,,,,
6’0” surfboard,8/25/2020 12:26,$325 , (Kaneohe),https://honolulu.craigslist.org/oah/spo/d/kaneohe-60-surfboard/7184300105.html
,,,,
6'4 Chronic Surfboard,8/25/2020 12:09,$190 , (MILILANI),https://honolulu.craigslist.org/oah/spo/d/wheeler-army-airfield-64-chronic/7181808346.html
,,,,
